,Time,X,Y,Z,A,B,C,LineNumber,ProgTime,X_Norm,Y_Norm,Distance,X_Trans,Y_Trans
6329,25.316,717.42114810983,-376.00601461296975,8.894126645672246,0.000594484711276,0.000676891339653,-0.000944325687106,3,18.56,0.12382056141750235,0.9996032152942369,1.778,0.5867075221479635,0.8909368871378474
6330,25.32,717.3870805283766,-376.0056311247888,8.894015158903823,0.000635324424504,0.00072398959636,-0.000908742531468,3,18.564,0.12297050540868673,0.9996067622513279,1.779,0.5864550752232431,0.8909310384099314
6331,25.324,717.3539923081768,-376.005576306854,8.894163113311901,0.000612555435493,0.000706922457549,-0.000828891297439,3,18.568,0.12214488647121298,0.9996072692731145,1.78,0.5862099499923705,0.8909232371298788
6332,25.328,717.3205194609925,-376.0052099524892,8.894962042874917,0.000635767462802,0.000724426516105,-0.000767204341609,3,18.572,0.12130967030184521,0.9996106577561928,1.781,0.5859619234411919,0.8909174210957982
6333,25.332,717.286985347984,-376.00457041086463,8.894742696299478,0.000655911484728,0.000729143574021,-0.000709329396252,3,18.576,0.12047292542454459,0.9996165730015982,1.848,0.5857133981642316,0.8909134140150897
6334,25.336,717.2535082111573,-376.0046071404968,8.895317805764675,0.000626496113788,0.000732143756562,-0.000546928272059,3,18.58,0.11963760221980235,0.9996162332820562,1.85,0.5854654258487579,0.8909049059983011
6335,25.34,717.220349335563,-376.00442046511137,8.895918787858188,0.000601352287868,0.000675361878726,-0.000467848546035,3,18.584,0.11881022028536682,0.9996179598791585,1.851,0.5852197752656878,0.8908979682620406
6336,25.344,717.1867827209635,-376.0042341136336,8.896526010191888,0.000573266623559,0.000661410394102,-0.000329253048697,3,18.588,0.11797266442672953,0.999619683480376,1.852,0.5849711101985341,0.8908909278884659
6337,25.348,717.1530865274611,-376.00382301675825,8.896659733128995,0.000546917693527,0.000649463693117,-0.000155100184753,3,18.592,0.11713187530878041,0.9996234857956741,1.789,0.5847214494647385,0.8908853561461878
6338,25.352,717.1204748890327,-376.00357439298296,8.897225213001146,0.000491065614125,0.000548027807524,-7.7384089057e-05,3,18.596,0.11631814806367796,0.9996257853655345,1.786,0.5844798574973156,0.8908789675025561
6339,25.356,717.0880710400683,-376.00387896733133,8.898230529343635,0.000387542916355,0.000437820116061,-4.437196564e-05,3,18.6,0.11550960559174898,0.999622968297895,1.786,0.5842399123427243,0.8908689370922251
6340,25.36,717.0551846525799,-376.00368947211774,8.89819490917705,0.000325985664741,0.000376031530131,5.166269613e-05,3,18.604,0.11468902279426052,0.9996247209761389,1.787,0.583996307194451,0.8908620862281486
6341,25.364,717.0228983945066,-376.0038743634212,8.89928097071953,0.000253587176858,0.00029250344945,8.0862069583e-05,3,18.608,0.11388341445617163,0.9996230108803592,1.788,0.5837572215058013,0.8908528842428863
6342,25.368,716.9901205278701,-376.00344963748387,8.899643801141604,0.000204750775787,0.000226920638367,0.000133714228631,3,18.612,0.1130655394764468,0.9996269392535136,1.792,0.583514387376693,0.8908476308567375
6343,25.372,716.9574347948119,-376.0034922171503,8.900548366723656,0.000159947919486,0.000156757348103,0.000164121519605,3,18.616,0.11224996341840902,0.9996265454258616,1.793,0.5832723275457561,0.8908392806984994
6344,25.376,716.9253186968605,-376.00425653218167,8.901603932163194,3.659157093e-05,3.2961887152e-05,0.000200946493057,3,18.62,0.11144860092425506,0.9996194761268458,1.793,0.5830346252933793,0.8908262532042655
6345,25.38,716.8931162873386,-376.00407092729296,8.902177252636104,-2.724286501e-05,-5.9131422477e-05,0.000222518972049,3,18.624,0.11064508477944546,0.999621192822715,1.793,0.5827961132064498,0.8908195460079327
6346,25.384,716.860214352366,-376.00389773309297,8.90261132170707,-8.608805501e-05,-0.000126986442614,0.000271092189149,3,18.628,0.10982411404034872,0.9996227947297001,1.793,0.58255242845174,0.8908125835024454
6347,25.388,716.8277262498419,-376.0040187861012,8.904167985187993,-0.000204850387701,-0.000236215305771,0.000385293965262,3,18.632,0.1090134692693549,0.9996216750867821,1.794,0.5823118681677105,0.890803759025338
6348,25.392,716.7946595254016,-376.00366194478414,8.904769939889908,-0.000250279321185,-0.000288585268378,0.000524355989572,3,18.636,0.10818838669515478,0.9996249755818242,1.794,0.5820669400504564,0.8907979821111947
6349,25.396,716.7618265157515,-376.0033265499858,8.905843100416735,-0.000314769905416,-0.000381399242082,0.000730096908703,3,18.64,0.10736913578417683,0.9996280777138257,1.794,0.5818237520676823,0.8907921198311638
6350,25.4,716.7288223694313,-376.0033518732772,8.906799210990593,-0.00039070960561,-0.000468932945143,0.000880441920265,3,18.644,0.1065456146623835,0.999627843493757,1.794,0.5815793691281417,0.8907838075749746
6351,25.404,716.6958626280779,-376.00330127522767,8.90761409932904,-0.000450359566265,-0.000528443360844,0.001023317285525,3,18.648,0.10572320153555724,0.9996283114850003,1.794,0.5813353064499998,0.8907760132505531
6352,25.408,716.6636693124941,-376.0032178356061,8.908526783415153,-0.000519684471444,-0.000608335728261,0.001041231902056,3,18.652,0.1049199123031508,0.9996290832343581,1.792,0.581096918074498,0.890768627414938
6353,25.412,716.6313972646597,-376.003545817133,8.90948790044196,-0.000599888541504,-0.000709993535956,0.000987410695465,3,18.656,0.10411465853965823,0.9996260496691525,1.858,0.5808580281820896,0.8907584760706876
